Movie name,Movie rate,Description,Creators,Trailer link,More Info
Adulthood,5.975,"The lives of two siblings are completely upended when they discover a dead body, long buried in their parent’s basement, sending them down a rabbit hole of crime and murder.",Alex Winter,https://www.youtube.com/watch?v=rutRDICG2oE,https://www.themoviedb.org/movie/1083420
A Big Bold Beautiful Journey,6.188,"Sarah and David are single strangers who meet at a mutual friend’s wedding and soon, through a surprising twist of fate, find themselves on a funny, fantastical, sweeping adventure together where they get to re-live important moments from their respective pasts, illuminating how they got to where they are in the present... and possibly getting a chance to alter their futures.",Kogonada,https://www.youtube.com/watch?v=xdKP22EaAuU,https://www.themoviedb.org/movie/1241921
Kiss and Kill,5.3,"A reckless night of indiscretion and lust leads a woman into the dark world of blackmail and murder. When revealing photos of her sexual tryst unexpectedly surface, Katy is forced to submit to whatever her tormentors desire.",Dean McKendrick,N/A,https://www.themoviedb.org/movie/460229
Hostile Takeover,7.517,"Follows Pete, a professional hitman, as he faces a group of assassins after the boss of a crime syndicate suspects disloyalty due to his attendance at Workaholics Anonymous meetings.",Michael Hamilton-Wright,https://www.youtube.com/watch?v=zie6QBbTK5s,https://www.themoviedb.org/movie/1319895
The Home,6.6,"A troubled man starts working at a retirement home and realizes its residents and caretakers harbor sinister secrets. As he investigates the building and its forbidden fourth floor, he starts to uncover connections to his own past and upbringing as a foster child.",James DeMonaco,https://www.youtube.com/watch?v=EVjvYF_geAU,https://www.themoviedb.org/movie/926606
Sirāt,7.1,"A father and his son arrive at a rave deep in the mountains of southern Morocco. They’re searching for Mar — daughter and sister — who vanished months ago at one of these endless, sleepless parties. Surrounded by electronic music and a raw, unfamiliar sense of freedom, they hand out her photo again and again. Hope is fading but they push through and follow a group of ravers heading to one last party in the desert. As they venture deeper into the burning wilderness, the journey forces them to confront their own limits.",Oliver Laxe,https://www.youtube.com/watch?v=_HvwhOY63Ig,https://www.themoviedb.org/movie/1151272
Osiris,6.6,"Special Forces commandos on a mission are abducted mid-operation by a mysterious spacecraft. Upon waking aboard, they find themselves prey to a relentless alien race in a fight for survival.",William Kaufman,https://www.youtube.com/watch?v=oqlqZWv_PO4,https://www.themoviedb.org/movie/1241470
Maa,6.679,A mother and daughter encounter a demon in a village where girls have been disappearing.,Vishal Furia,https://www.youtube.com/watch?v=lVvMbXiJjko,https://www.themoviedb.org/movie/1389158
Love Untangled,8.44,A lovestruck teen plans to win the school heartthrob by going from curly to straight hair — until a new transfer student changes everything.,Namkoong Sun,https://www.youtube.com/watch?v=0HwDE0HXbqc,https://www.themoviedb.org/movie/1355666
The Ultimate Life,7.0,"Despite his best intentions, billionaire Jason Stevens can’t find enough time to keep his beloved Alexia a priority. But when he discovers his late grandfather’s journal, he is transported back to Red Stevens’ incredible world. With everything he loves hanging in the balance, Jason Stevens hopes the past will prepare him well for the future.",Michael Landon Jr.,https://www.youtube.com/watch?v=7C_ghciPnco,https://www.themoviedb.org/movie/195757
Relay,7.21,"Tom, a world class ""fixer"", specializes in brokering lucrative payoffs between corrupt corporations and the individuals who threaten their ruin. He keeps his identity a secret through meticulous planning and always follows an exacting set of rules. But when a message arrives one day from potential client Sarah, needing Tom's protection just to stay alive, the rules quickly start to change.",David Mackenzie,https://www.youtube.com/watch?v=cAggzjekqbA,https://www.themoviedb.org/movie/1088166
Lubuk,0.0,"30 years ago, Titi and Dirwan appeared at a small town and took over a rundown mansion where they turned it into a quaint and idyllic home for the homeless and those who have nowhere to go. It has created a buzz among the small community and nearby towns especially when Dirwan has never demanded for any payments and he has taken great efforts and measures to provide the best care and facilities for the residents. Unknown to everyone, the shelter home is only the front for another ludicrous but dark and sinister business. Business that Titi and Dirwan have been profiting for close to 2 decades. Its charming facade and warm hospitality lure unsuspecting victims. This place is perfect as it is located at the edge of the town, far away from anyone and coupled with unreliable internet and mobile phone services.",Mark Lee See Teck,N/A,https://www.themoviedb.org/movie/1163545
The Ultimate Life,7.0,"Despite his best intentions, billionaire Jason Stevens can’t find enough time to keep his beloved Alexia a priority. But when he discovers his late grandfather’s journal, he is transported back to Red Stevens’ incredible world. With everything he loves hanging in the balance, Jason Stevens hopes the past will prepare him well for the future.",Michael Landon Jr.,https://www.youtube.com/watch?v=7C_ghciPnco,https://www.themoviedb.org/movie/195757
Relay,7.2,"Tom, a world class ""fixer"", specializes in brokering lucrative payoffs between corrupt corporations and the individuals who threaten their ruin. He keeps his identity a secret through meticulous planning and always follows an exacting set of rules. But when a message arrives one day from potential client Sarah, needing Tom's protection just to stay alive, the rules quickly start to change.",David Mackenzie,https://www.youtube.com/watch?v=cAggzjekqbA,https://www.themoviedb.org/movie/1088166
Moana 2,7.036,"After receiving an unexpected call from her wayfinding ancestors, Moana journeys alongside Maui and a new crew to the far seas of Oceania and into dangerous, long-lost waters for an adventure unlike anything she's ever faced.","David G. Derrick Jr., Jason Hand, Dana Ledoux Miller",https://www.youtube.com/watch?v=JdSl4RMNtGE,https://www.themoviedb.org/movie/1241982
Smurfs,6.008,"When Papa Smurf is mysteriously taken by evil wizards, Razamel and Gargamel, Smurfette leads the Smurfs on a mission into the real world to save him. With the help of new friends, the Smurfs must discover what defines their destiny to save the universe.",Chris Miller,https://www.youtube.com/watch?v=_N7kNc4-ZUg,https://www.themoviedb.org/movie/936108
Kaiju No. 8: Mission Recon,7.923,"In a Kaiju-filled Japan, Kafka Hibino works in monster disposal. After reuniting with his childhood friend Mina Ashiro, a rising star in the anti-Kaiju Defense Force, he decides to pursue his abandoned dream of joining the Force, when he suddenly transforms into the powerful ""Kaiju No. 8."" An action-packed recap of the first season of Kaiju No. 8 and a new original episode, Hoshina's Day Off.","Shigeyuki Miya, Tomomi Kamiya",https://www.youtube.com/watch?v=D8cVDarxgHg,https://www.themoviedb.org/movie/1326106
The Family Plan,7.251,"Dan Morgan is many things: a devoted husband, a loving father, a celebrated car salesman. He's also a former assassin. And when his past catches up to his present, he's forced to take his unsuspecting family on a road trip unlike any other.",Simon Cellan Jones,https://www.youtube.com/watch?v=ns8weNznn1Y,https://www.themoviedb.org/movie/1029575
Hostile Takeover,7.517,"Follows Pete, a professional hitman, as he faces a group of assassins after the boss of a crime syndicate suspects disloyalty due to his attendance at Workaholics Anonymous meetings.",Michael Hamilton-Wright,https://www.youtube.com/watch?v=zie6QBbTK5s,https://www.themoviedb.org/movie/1319895
Harry Potter and the Philosopher's Stone,7.9,"Harry Potter has lived under the stairs at his aunt and uncle's house his whole life. But on his 11th birthday, he learns he's a powerful wizard—with a place waiting for him at the Hogwarts School of Witchcraft and Wizardry. As he learns to harness his newfound powers with the help of the school's kindly headmaster, Harry uncovers the truth about his parents' deaths—and about the villain who's to blame.",Chris Columbus,https://www.youtube.com/watch?v=l91Km49W9qI,https://www.themoviedb.org/movie/671
A Minecraft Movie,6.369,"Four misfits find themselves struggling with ordinary problems when they are suddenly pulled through a mysterious portal into the Overworld: a bizarre, cubic wonderland that thrives on imagination. To get back home, they'll have to master this world while embarking on a magical quest with an unexpected, expert crafter, Steve.",Jared Hess,https://www.youtube.com/watch?v=aSh_L6bvaCQ,https://www.themoviedb.org/movie/950387
Fight Club,8.438,"A ticking-time-bomb insomniac and a slippery soap salesman channel primal male aggression into a shocking new form of therapy. Their concept catches on, with underground ""fight clubs"" forming in every town, until an eccentric gets in the way and ignites an out-of-control spiral toward oblivion.",David Fincher,https://www.youtube.com/watch?v=dfeUzm6KF4g,https://www.themoviedb.org/movie/550
The Map That Leads to You,6.602,"Heather is a young woman traveling Europe with friends before starting her perfectly planned life. A chance meeting with Jack sparks an unexpected romance that leads to deep emotional discovery. As secrets and life choices test their bond, her path changes forever.",Lasse Hallström,https://www.youtube.com/watch?v=FK9BQm471c0,https://www.themoviedb.org/movie/1312946
Avatar: The Way of Water,7.61,"Set more than a decade after the events of the first film, learn the story of the Sully family (Jake, Neytiri, and their kids), the trouble that follows them, the lengths they go to keep each other safe, the battles they fight to stay alive, and the tragedies they endure.",James Cameron,https://www.youtube.com/watch?v=o5F8MOz_IDw,https://www.themoviedb.org/movie/76600
The Shadow's Edge,7.4,Macau Police brings the tracking expert police officer out of retirement to help catch a dangerous group of professional thieves.,Larry Yang,https://www.youtube.com/watch?v=xvmADAJOoCg,https://www.themoviedb.org/movie/1419406
Couple Exchange,9.8,"Nan-hee, who wants to enjoy her newlywed life, feels something wrong with her husband, Moo-yeong's body. No matter how much she tries to seduce him every night, Moo-yeong is unable to use his strength. One day, Nan-hee's high school classmate Yoo-na moves in next door. Nan-hee begins to heal Moo-yeong through Yoo-na's shocking suggestion.",Jang Kwon,N/A,https://www.themoviedb.org/movie/1234720
