Tên xe,Giá,Nam s?n xu?t,Ki?u dáng,Tình tr?ng,Xu?t x?,S? km dã di,T?nh thành,H?p s?,Nhiên li?u
Hyundai Accent 1.5 AT 2024,455000000,Nam SX 2024,Ki?u dáng Sedan,Tình tr?ng Xe cu,Xu?t x? Trong nu?c,Km dã di 31.000 km,"T?nh thành
C?n Tho",H?p s? S? t? d?ng,Nhiên li?u Máy xang
Toyota Zace 2005,125000000,Nam SX 2005,Ki?u dáng SUV,Tình tr?ng Xe cu,Xu?t x? Trong nu?c,Km dã di 12.000 km,"T?nh thành
Hà N?i",H?p s? S? sàn,Nhiên li?u Máy xang
Mazda 3 Sedan 1.5L Luxury 2021,550000000,Nam SX 2021,Ki?u dáng Sedan,Tình tr?ng Xe cu,Xu?t x? Trong nu?c,Km dã di 120.000 km,"T?nh thành
Tp.HCM",H?p s? S? t? d?ng,Nhiên li?u Máy xang
Hyundai Santa Fe 2021,1020000000,Nam SX 2021,Ki?u dáng SUV,Tình tr?ng Xe cu,,Km dã di 33.000 km,"T?nh thành
Hà N?i",H?p s? S? t? d?ng,Nhiên li?u Máy xang
Mercedes-Benz C300 AMG 2019,1068000000,Nam SX 2019,Ki?u dáng Sedan,Tình tr?ng Xe cu,Xu?t x? Nh?p kh?u,Km dã di 01 km,"T?nh thành
Tp.HCM",H?p s? S? t? d?ng,Nhiên li?u Máy xang
MG ZS 1.5L LUX+ 2025,525000000,Nam SX 2025,Ki?u dáng Crossover,Tình tr?ng Xe cu,Xu?t x? Nh?p kh?u,Km dã di 5.000 km,"T?nh thành
C?n Tho",H?p s? S? t? d?ng,Nhiên li?u Máy xang
Mitsubishi Grandis 2.4 MIVEC 2009,272000000,Nam SX 2009,Ki?u dáng MPV,Tình tr?ng Xe cu,Xu?t x? Trong nu?c,Km dã di 110.000 km,"T?nh thành
Tp.HCM",H?p s? S? t? d?ng,Nhiên li?u Máy xang
Mitsubishi Xpander 1.5 MT 2019,340000000,Nam SX 2019,Ki?u dáng Crossover,Tình tr?ng Xe cu,Xu?t x? Nh?p kh?u,Km dã di 170.000 km,"T?nh thành
Hà N?i",H?p s? S? sàn,Nhiên li?u Máy xang
Toyota Fortuner 2.7 V 4X2 AT 2019,750000000,Nam SX 2019,Ki?u dáng MPV,Tình tr?ng Xe cu,Xu?t x? Nh?p kh?u,Km dã di 8.000 km,"T?nh thành
Hà N?i",H?p s? S? t? d?ng,Nhiên li?u Máy xang
Nissan X trail 2.5 SV 4WD 2016,475000000,Nam SX 2016,Ki?u dáng SUV,Tình tr?ng Xe cu,Xu?t x? Trong nu?c,Km dã di 8.000 km,"T?nh thành
Hà N?i",H?p s? S? t? d?ng,Nhiên li?u Máy xang
Toyota Innova 2.0E 2017,395000000,Nam SX 2017,Ki?u dáng MPV,Tình tr?ng Xe cu,Xu?t x? Trong nu?c,Km dã di 120.000 km,"T?nh thành
H?i Phòng",H?p s? S? t? d?ng,Nhiên li?u Máy xang
Ford Focus 1.8L 2008,110000000,Nam SX 2008,Ki?u dáng Sedan,Tình tr?ng Xe cu,Xu?t x? Nh?p kh?u,Km dã di 25.000 km,"T?nh thành
Vinh Phúc",H?p s? S? sàn,Nhiên li?u Máy xang
Hyundai Accent 1.4 AT 2018,375000000,Nam SX 2018,Ki?u dáng Sedan,Tình tr?ng Xe cu,Xu?t x? Trong nu?c,Km dã di 75.000 km,"T?nh thành
H?i Phòng",H?p s? S? t? d?ng,Nhiên li?u Máy xang
Hyundai Accent 1.4 AT 2018,365000000,Nam SX 2018,Ki?u dáng Sedan,Tình tr?ng Xe cu,Xu?t x? Trong nu?c,Km dã di 100.000 km,"T?nh thành
H?i Phòng",H?p s? S? t? d?ng,Nhiên li?u Máy xang
Hyundai Tucson 1.6 Turbo HTRAC 2019,638000000,Nam SX 2019,Ki?u dáng SUV,Tình tr?ng Xe cu,Xu?t x? Trong nu?c,Km dã di 60.000 km,"T?nh thành
H?i Phòng",H?p s? S? t? d?ng,Nhiên li?u Máy xang
Toyota Fortuner 2009,275000000,Nam SX 2009,,Tình tr?ng Xe cu,Xu?t x? Trong nu?c,Km dã di 100.000 km,"T?nh thành
H?i Phòng",H?p s? S? t? d?ng,Nhiên li?u Máy xang
Mazda CX-5 2019,500000000,Nam SX 2019,Ki?u dáng SUV,Tình tr?ng Xe cu,Xu?t x? Trong nu?c,Km dã di 20.000 km,"T?nh thành
Ðà N?ng",H?p s? S? t? d?ng,Nhiên li?u Máy xang
Toyota Corolla Altis 1.8E CVT 2019,520000000,Nam SX 2019,Ki?u dáng Sedan,Tình tr?ng Xe cu,Xu?t x? Trong nu?c,Km dã di 59.000 km,"T?nh thành
Tp.HCM",H?p s? S? t? d?ng,Nhiên li?u Máy xang
Mitsubishi Xpander 2020,430000000,Nam SX 2020,Ki?u dáng MPV,Tình tr?ng Xe cu,Xu?t x? Nh?p kh?u,Km dã di 157.000 km,"T?nh thành
Qu?ng Ngãi",H?p s? S? sàn,Nhiên li?u Máy xang
Toyota Camry 2.0E 2013,390000000,Nam SX 2013,Ki?u dáng Sedan,Tình tr?ng Xe cu,Xu?t x? Nh?p kh?u,Km dã di 157.000 km,"T?nh thành
Ð?ng Nai",H?p s? S? t? d?ng,Nhiên li?u Máy xang
Ford Everest Wildtrak 2.0L AT 4x4 2019,590000000,Nam SX 2019,Ki?u dáng SUV,Tình tr?ng Xe cu,Xu?t x? Nh?p kh?u,Km dã di 18.000 km,"T?nh thành
Thái Nguyên",H?p s? S? t? d?ng,Nhiên li?u Máy d?u
Mitsubishi Xpander AT Premium 2022,495000000,Nam SX 2022,Ki?u dáng MPV,Tình tr?ng Xe cu,Xu?t x? Nh?p kh?u,Km dã di 85.000 km,"T?nh thành
Tp.HCM",H?p s? S? t? d?ng,Nhiên li?u Máy xang
Hyundai Elantra 1.6 AT Ð?c bi?t 2022,495000000,Nam SX 2022,Ki?u dáng Sedan,Tình tr?ng Xe cu,Xu?t x? Trong nu?c,Km dã di 65.000 km,"T?nh thành
Tp.HCM",H?p s? S? t? d?ng,Nhiên li?u Máy xang
Toyota Avanza 1.5 AT 2022,465000000,Nam SX 2022,Ki?u dáng MPV,Tình tr?ng Xe cu,Xu?t x? Nh?p kh?u,Km dã di 65.000 km,"T?nh thành
Tp.HCM",H?p s? S? t? d?ng,Nhiên li?u Máy xang
Toyota Venza 3.5 AWD AT 2009,450000000,Nam SX 2009,Ki?u dáng SUV,Tình tr?ng Xe cu,Xu?t x? Nh?p kh?u,Km dã di 110.000 km,"T?nh thành
Tp.HCM",H?p s? S? t? d?ng,Nhiên li?u Máy xang
Toyota Corolla Altis 1.8 G 2019,485000000,Nam SX 2019,Ki?u dáng Sedan,Tình tr?ng Xe cu,Xu?t x? Trong nu?c,Km dã di 75.000 km,"T?nh thành
Tp.HCM",H?p s? S? t? d?ng,Nhiên li?u Máy xang
Audi A4 1.8L TFSI 2013,385000000,Nam SX 2013,Ki?u dáng Sedan,Tình tr?ng Xe cu,Xu?t x? Nh?p kh?u,Km dã di 120.000 km,"T?nh thành
Tp.HCM",H?p s? S? t? d?ng,Nhiên li?u Máy xang
Ford EcoSport Titanium 1.0L AT 2016,325000000,Nam SX 2016,,Tình tr?ng Xe cu,Xu?t x? Trong nu?c,Km dã di 40.000 km,"T?nh thành
Tp.HCM",H?p s? S? t? d?ng,Nhiên li?u Máy xang
Ford Transit Tiêu chu?n 2024,680000000,Nam SX 2024,Ki?u dáng Minibus,Tình tr?ng Xe cu,Xu?t x? Trong nu?c,Km dã di 16.000 km,"T?nh thành
Tp.HCM",H?p s? S? sàn,Nhiên li?u Máy d?u
Audi A4 1.8L TFSI 2013,385000000,Nam SX 2013,Ki?u dáng Sedan,Tình tr?ng Xe cu,Xu?t x? Nh?p kh?u,Km dã di 120.000 km,"T?nh thành
Tp.HCM",H?p s? S? t? d?ng,Nhiên li?u Máy xang
Ford EcoSport Titanium 1.0L AT 2016,325000000,Nam SX 2016,,Tình tr?ng Xe cu,Xu?t x? Trong nu?c,Km dã di 40.000 km,"T?nh thành
Tp.HCM",H?p s? S? t? d?ng,Nhiên li?u Máy xang
Ford Transit Tiêu chu?n 2024,680000000,Nam SX 2024,Ki?u dáng Minibus,Tình tr?ng Xe cu,Xu?t x? Trong nu?c,Km dã di 16.000 km,"T?nh thành
Tp.HCM",H?p s? S? sàn,Nhiên li?u Máy d?u
Mazda 3 1.5 Hatchback 2016,385000000,Nam SX 2016,Ki?u dáng Hatchback,Tình tr?ng Xe cu,Xu?t x? Trong nu?c,Km dã di 45.000 km,"T?nh thành
Lâm Ð?ng",H?p s? S? t? d?ng,Nhiên li?u Máy xang
VinFast VF 3 2024,250000000,Nam SX 2024,Ki?u dáng SUV,Tình tr?ng Xe cu,Xu?t x? Trong nu?c,Km dã di 10.670 km,"T?nh thành
Hà Tinh",H?p s? S? t? d?ng,Nhiên li?u Ði?n
VinFast LUX A2.0 Tiêu chu?n 2020,475000000,Nam SX 2020,Ki?u dáng Sedan,Tình tr?ng Xe cu,Xu?t x? Trong nu?c,Km dã di 90.000 km,"T?nh thành
Hà N?i",H?p s? S? t? d?ng,Nhiên li?u Máy xang
Nissan X trail 2.5 SV 4WD 2019,605000000,Nam SX 2019,Ki?u dáng SUV,Tình tr?ng Xe cu,Xu?t x? Trong nu?c,Km dã di 8.000 km,"T?nh thành
Hà N?i",H?p s? S? t? d?ng,Nhiên li?u Máy xang
Kia Morning LX 1.0 MT 2010,101000000,Nam SX 2010,Ki?u dáng Sedan,Tình tr?ng Xe cu,Xu?t x? Trong nu?c,Km dã di 333.996 km,"T?nh thành
Hà N?i",H?p s? S? sàn,Nhiên li?u Máy xang
Toyota Innova 2.0 Venturer AT 2019,560000000,Nam SX 2019,Ki?u dáng MPV,Tình tr?ng Xe cu,Xu?t x? Trong nu?c,Km dã di 160 km,"T?nh thành
Tp.HCM",H?p s? S? t? d?ng,Nhiên li?u Máy xang
Mazda 3 Sedan 1.5L Deluxe 2020,485000000,Nam SX 2020,Ki?u dáng Sedan,Tình tr?ng Xe cu,Xu?t x? Trong nu?c,Km dã di 75.000 km,"T?nh thành
H?i Phòng",H?p s? S? t? d?ng,Nhiên li?u Máy xang
Kia Cerato 1.6 MT 2017,325000000,Nam SX 2017,,Tình tr?ng Xe cu,Xu?t x? Trong nu?c,Km dã di 83.901 km,"T?nh thành
H?i Phòng",H?p s? S? sàn,Nhiên li?u Máy xang
Hyundai Santa Fe 2.2 D?u Cao c?p 2021,999000000,Nam SX 2021,Ki?u dáng SUV,Tình tr?ng Xe cu,Xu?t x? Trong nu?c,Km dã di 76.000 km,"T?nh thành
Tp.HCM",H?p s? S? t? d?ng,Nhiên li?u Máy d?u
Hyundai Verna ls 2009,220000000,Nam SX 2009,Ki?u dáng Sedan,Tình tr?ng Xe cu,Xu?t x? Nh?p kh?u,Km dã di 150.000 km,"T?nh thành
Hà N?i",H?p s? S? t? d?ng,Nhiên li?u Máy xang
VinFast LUX A2.0 Tiêu chu?n 2022,575000000,Nam SX 2022,Ki?u dáng Sedan,Tình tr?ng Xe cu,Xu?t x? Trong nu?c,Km dã di 30.000 km,"T?nh thành
Hà N?i",H?p s? S? t? d?ng,Nhiên li?u Máy xang
Kia Sportage 2.0D Signature 2022,826000000,Nam SX 2022,Ki?u dáng SUV,Tình tr?ng Xe cu,Xu?t x? Nh?p kh?u,Km dã di 50.000 km,"T?nh thành
Hà N?i",H?p s? S? t? d?ng,Nhiên li?u Máy d?u
Kia Sportage 2.0D Signature 2022,826000000,Nam SX 2022,Ki?u dáng SUV,Tình tr?ng Xe cu,Xu?t x? Nh?p kh?u,Km dã di 50.000 km,"T?nh thành
Hà N?i",H?p s? S? t? d?ng,Nhiên li?u Máy d?u
Peugeot 2008 Active 2022,550000000,Nam SX 2022,Ki?u dáng SUV,Tình tr?ng Xe cu,Xu?t x? Nh?p kh?u,Km dã di 49.000 km,"T?nh thành
Hà N?i",H?p s? S? t? d?ng,Nhiên li?u Máy xang
Mazda CX-5 2.0 Luxury 2024,758000000,Nam SX 2024,Ki?u dáng SUV,Tình tr?ng Xe cu,Xu?t x? Trong nu?c,Km dã di 20.000 km,"T?nh thành
Hà N?i",H?p s? S? t? d?ng,Nhiên li?u Máy xang
Hyundai i30 1.6 AT 2009,230000000,Nam SX 2009,Ki?u dáng Hatchback,Tình tr?ng Xe cu,Xu?t x? Nh?p kh?u,Km dã di 100.000 km,"T?nh thành
Hà N?i",H?p s? S? t? d?ng,Nhiên li?u Máy xang
Toyota Innova 2.0E 2015,275000000,Nam SX 2015,Ki?u dáng SUV,Tình tr?ng Xe cu,Xu?t x? Trong nu?c,Km dã di 10.000 km,"T?nh thành
Hà N?i",H?p s? S? sàn,Nhiên li?u Máy xang
Mitsubishi Xpander Cross 1.5 AT 2022,500000000,Nam SX 2022,Ki?u dáng MPV,Tình tr?ng Xe cu,Xu?t x? Trong nu?c,Km dã di 47.000 km,"T?nh thành
Bình Duong",H?p s? S? t? d?ng,Nhiên li?u Máy xang
BMW 320i 2024,1598000000,Nam SX 2024,Ki?u dáng Sedan,Tình tr?ng Xe cu,Xu?t x? Nh?p kh?u,Km dã di 9.000 km,"T?nh thành
Tp.HCM",H?p s? S? t? d?ng,Nhiên li?u Máy xang
Mitsubishi Xpander 1.5 AT  2020,465000000,Nam SX 2020,,Tình tr?ng Xe cu,Xu?t x? Nh?p kh?u,Km dã di 80.000 km,"T?nh thành
H?i Phòng",H?p s? S? t? d?ng,Nhiên li?u Máy xang
Toyota Fortuner 2.4 MT 4x2 2018,600000000,Nam SX 2018,Ki?u dáng SUV,Tình tr?ng Xe cu,Xu?t x? Nh?p kh?u,Km dã di 49.000 km,"T?nh thành
Tp.HCM",H?p s? S? sàn,Nhiên li?u Máy d?u
Hyundai Santa Fe 2.5 Xang Cao c?p 2022,1040000000,Nam SX 2022,Ki?u dáng SUV,Tình tr?ng Xe cu,Xu?t x? Trong nu?c,Km dã di 23.800 km,"T?nh thành
Hà N?i",H?p s? S? t? d?ng,Nhiên li?u Máy xang
BMW X5 xDrive 40i xLine Plus 2023,3999000000,Nam SX 2023,Ki?u dáng SUV,Tình tr?ng Xe cu,Xu?t x? Nh?p kh?u,Km dã di 3.333 km,"T?nh thành
Tp.HCM",H?p s? S? t? d?ng,Nhiên li?u Máy xang
Hyundai Elantra 1.8 MT 2020,388000000,Nam SX 2020,Ki?u dáng Sedan,Tình tr?ng Xe cu,Xu?t x? Trong nu?c,Km dã di 66.000 km,"T?nh thành
H?i Phòng",H?p s? S? sàn,Nhiên li?u Máy xang
VinFast VF6 Plus 2023,600000000,Nam SX 2023,Ki?u dáng Crossover,Tình tr?ng Xe cu,Xu?t x? Trong nu?c,Km dã di 45.000 km,"T?nh thành
Hà N?i",H?p s? S? t? d?ng,Nhiên li?u Ði?n
Toyota Vios 1.5E MT 2021,350000000,Nam SX 2021,Ki?u dáng Sedan,Tình tr?ng Xe cu,Xu?t x? Trong nu?c,Km dã di 140.000 km,"T?nh thành
Tp.HCM",H?p s? S? sàn,Nhiên li?u Máy xang
Suzuki XL7 GLX 2021,455000000,Nam SX 2021,Ki?u dáng SUV,Tình tr?ng Xe cu,Xu?t x? Nh?p kh?u,Km dã di 67.000 km,"T?nh thành
Bình Phu?c",H?p s? S? t? d?ng,Nhiên li?u Máy xang
Mitsubishi Triton GLS MT 2019,370000000,Nam SX 2019,Ki?u dáng Bán t?i,Tình tr?ng Xe cu,Xu?t x? Nh?p kh?u,Km dã di 116.000 km,"T?nh thành
Tp.HCM",H?p s? S? sàn,Nhiên li?u Máy d?u
Toyota Camry 2.5Q 2020,870000000,Nam SX 2020,Ki?u dáng Sedan,Tình tr?ng Xe cu,Xu?t x? Nh?p kh?u,Km dã di 101.650 km,"T?nh thành
Hà N?i",H?p s? S? t? d?ng,Nhiên li?u Máy xang
Kia Carens SX 2.0 AT 2010,195000000,Nam SX 2010,Ki?u dáng MPV,Tình tr?ng Xe cu,Xu?t x? Trong nu?c,Km dã di 210.000 km,"T?nh thành
Hà N?i",H?p s? S? t? d?ng,Nhiên li?u Máy xang
Kia Cerato 1.6 MT 2019,375000000,Nam SX 2019,Ki?u dáng Sedan,Tình tr?ng Xe cu,Xu?t x? Trong nu?c,Km dã di 90.000 km,"T?nh thành
H?i Phòng",H?p s? S? sàn,Nhiên li?u Máy xang
Toyota Corolla Cross 1.8 V  2023,700000000,Nam SX 2023,Ki?u dáng SUV,Tình tr?ng Xe cu,Xu?t x? Trong nu?c,Km dã di 43.000 km,"T?nh thành
H?i Phòng",H?p s? S? t? d?ng,Nhiên li?u Máy xang
Mazda CX-5 2.5 AWD 2016,440000000,Nam SX 2016,Ki?u dáng SUV,Tình tr?ng Xe cu,Xu?t x? Nh?p kh?u,Km dã di 87.000 km,"T?nh thành
Tp.HCM",H?p s? S? t? d?ng,Nhiên li?u Máy xang
Ford Ranger Wildtrak 3.2 4x4 AT 2016,470000000,Nam SX 2016,Ki?u dáng Bán t?i,Tình tr?ng Xe cu,Xu?t x? Nh?p kh?u,Km dã di 140.000 km,"T?nh thành
Tp.HCM",H?p s? S? t? d?ng,Nhiên li?u Máy d?u
Kia Morning Si 1.25 AT 2016,265000000,Nam SX 2016,Ki?u dáng Hatchback,Tình tr?ng Xe cu,Xu?t x? Trong nu?c,Km dã di 39.000 km,"T?nh thành
Tp.HCM",H?p s? S? t? d?ng,Nhiên li?u Máy xang
Honda CR-V 1.5 E 2019,658000000,Nam SX 2019,Ki?u dáng SUV,Tình tr?ng Xe cu,Xu?t x? Nh?p kh?u,Km dã di 68.000 km,"T?nh thành
H?i Phòng",H?p s? S? t? d?ng,Nhiên li?u Máy xang
Toyota Rush 1.5 AT 2021,520000000,Nam SX 2021,Ki?u dáng SUV,Tình tr?ng Xe cu,Xu?t x? Nh?p kh?u,Km dã di 80.000 km,"T?nh thành
Th?a Thiên Hu?",H?p s? S? t? d?ng,Nhiên li?u Máy xang
Kia Cerato 1.6 MT 2018,285000000,Nam SX 2018,Ki?u dáng Sedan,Tình tr?ng Xe cu,Xu?t x? Trong nu?c,Km dã di 140.000 km,"T?nh thành
H?i Duong",H?p s? S? sàn,Nhiên li?u Máy xang
Toyota Corolla Altis 1.8G CVT 2014,350000000,Nam SX 2014,Ki?u dáng Sedan,Tình tr?ng Xe cu,Xu?t x? Trong nu?c,Km dã di 15.000 km,"T?nh thành
Hà Nam",H?p s? S? t? d?ng,Nhiên li?u Máy xang
Kia Cerato 1.6 MT 2019,375000000,Nam SX 2019,Ki?u dáng Sedan,Tình tr?ng Xe cu,Xu?t x? Trong nu?c,Km dã di 90.000 km,"T?nh thành
H?i Phòng",H?p s? S? sàn,Nhiên li?u Máy xang
Toyota Vios 1.5 E CVT 2024,400000000,Nam SX 2024,Ki?u dáng Sedan,Tình tr?ng Xe cu,Xu?t x? Nh?p kh?u,Km dã di 32.000 km,"T?nh thành
Hà N?i",H?p s? S? t? d?ng,Nhiên li?u Máy xang
Mazda 3 Sedan 1.5L Luxury 2022,538000000,Nam SX 2022,Ki?u dáng Sedan,Tình tr?ng Xe cu,Xu?t x? Nh?p kh?u,Km dã di 68.000 km,"T?nh thành
Qu?ng Bình",H?p s? S? t? d?ng,Nhiên li?u Máy xang
Toyota Vios 1.5 E CVT 2024,400000000,Nam SX 2024,Ki?u dáng Sedan,Tình tr?ng Xe cu,Xu?t x? Nh?p kh?u,Km dã di 32.000 km,"T?nh thành
Hà N?i",H?p s? S? t? d?ng,Nhiên li?u Máy xang
Mazda 3 Sedan 1.5L Luxury 2022,538000000,Nam SX 2022,Ki?u dáng Sedan,Tình tr?ng Xe cu,Xu?t x? Nh?p kh?u,Km dã di 68.000 km,"T?nh thành
Qu?ng Bình",H?p s? S? t? d?ng,Nhiên li?u Máy xang
Hyundai Stargazer 1.5 AT Cao c?p 2024,550000000,Nam SX 2024,Ki?u dáng MPV,Tình tr?ng Xe cu,Xu?t x? Nh?p kh?u,Km dã di 10.000 km,"T?nh thành
Hà N?i",H?p s? S? t? d?ng,Nhiên li?u Máy xang
Ford Ranger XLS 2.2 4x2 MT 2017,300000000,Nam SX 2017,Ki?u dáng Bán t?i,Tình tr?ng Xe cu,Xu?t x? Trong nu?c,Km dã di 10.000 km,"T?nh thành
Hà N?i",H?p s? S? sàn,Nhiên li?u Máy d?u
Mazda 2 2016,295000000,Nam SX 2016,Ki?u dáng Sedan,Tình tr?ng Xe cu,Xu?t x? Trong nu?c,Km dã di 50.000 km,"T?nh thành
H?i Phòng",H?p s? S? t? d?ng,Nhiên li?u Máy xang
Hyundai Grand i10 1.0 AT 2015,235000000,Nam SX 2015,,Tình tr?ng Xe cu,Xu?t x? Trong nu?c,Km dã di 75.284 km,"T?nh thành
H?i Phòng",H?p s? S? t? d?ng,Nhiên li?u Máy xang
VinFast Fadil 2022,328000000,Nam SX 2022,Ki?u dáng Hatchback,Tình tr?ng Xe cu,Xu?t x? Nh?p kh?u,Km dã di 58.000 km,"T?nh thành
Tp.HCM",H?p s? S? t? d?ng,Nhiên li?u Máy xang
Kia Sorento 2WD 2.4 GAT 2016,390000000,Nam SX 2016,Ki?u dáng SUV,Tình tr?ng Xe cu,Xu?t x? Trong nu?c,Km dã di 115.000 km,"T?nh thành
Tp.HCM",H?p s? S? t? d?ng,Nhiên li?u Máy xang
Honda CR-V 1.5 L 2018,715000000,Nam SX 2018,Ki?u dáng SUV,Tình tr?ng Xe cu,Xu?t x? Nh?p kh?u,Km dã di 8.000 km,"T?nh thành
Hà N?i",H?p s? S? t? d?ng,Nhiên li?u Máy xang
Mercedes-Benz AMG G63 4.0 v8 2022,10999000000,Nam SX 2022,Ki?u dáng SUV,Tình tr?ng Xe cu,Xu?t x? Nh?p kh?u,Km dã di 19.999 km,"T?nh thành
Tp.HCM",H?p s? S? t? d?ng,Nhiên li?u Máy xang
Toyota Vios 1.5G AT 2019,389000000,Nam SX 2019,Ki?u dáng Sedan,Tình tr?ng Xe cu,Xu?t x? Trong nu?c,Km dã di 77.459 km,"T?nh thành
H?i Phòng",H?p s? S? t? d?ng,Nhiên li?u Máy xang
Toyota Vios 1.5E MT 2020,300000000,Nam SX 2020,Ki?u dáng Sedan,Tình tr?ng Xe cu,Xu?t x? Trong nu?c,Km dã di 124.500 km,"T?nh thành
Phú Th?",H?p s? S? sàn,Nhiên li?u Máy xang
VinFast Fadil Cao c?p 2022,342000000,Nam SX 2022,Ki?u dáng Hatchback,Tình tr?ng Xe cu,Xu?t x? Trong nu?c,Km dã di 20.000 km,"T?nh thành
Hà N?i",H?p s? S? t? d?ng,Nhiên li?u Máy xang
Toyota Corolla Altis 1.8 G 2021,610000000,Nam SX 2021,Ki?u dáng Sedan,Tình tr?ng Xe cu,Xu?t x? Trong nu?c,Km dã di 40.000 km,"T?nh thành
Hà N?i",H?p s? S? t? d?ng,Nhiên li?u Máy xang
Mazda 6 2.5L Signature Premium 2021,595000000,Nam SX 2021,,Tình tr?ng Xe cu,Xu?t x? Trong nu?c,Km dã di 29.000 km,"T?nh thành
H?i Phòng",H?p s? S? t? d?ng,Nhiên li?u Máy xang
Hyundai Accent 1.4 AT 2019,368000000,Nam SX 2019,Ki?u dáng Sedan,Tình tr?ng Xe cu,Xu?t x? Trong nu?c,Km dã di 11.000 km,"T?nh thành
H?i Phòng",H?p s? S? t? d?ng,Nhiên li?u Máy xang
Mazda 6 2.0 AT 2015,358000000,Nam SX 2015,Ki?u dáng Sedan,Tình tr?ng Xe cu,Xu?t x? Trong nu?c,Km dã di 120.000 km,"T?nh thành
H?i Phòng",H?p s? S? t? d?ng,Nhiên li?u Máy xang
Toyota Innova 2017,395000000,Nam SX 2017,,Tình tr?ng Xe cu,Xu?t x? Trong nu?c,Km dã di 100.000 km,"T?nh thành
H?i Phòng",H?p s? S? t? d?ng,Nhiên li?u Máy xang
Mazda CX-5 2.0 Luxury 2012,399000000,Nam SX 2012,Ki?u dáng SUV,Tình tr?ng Xe cu,Xu?t x? Nh?p kh?u,Km dã di 8.000 km,"T?nh thành
Hà N?i",H?p s? S? t? d?ng,Nhiên li?u Máy xang
Toyota Innova 2016,358000000,Nam SX 2016,,Tình tr?ng Xe cu,Xu?t x? Trong nu?c,Km dã di 151.667 km,"T?nh thành
H?i Phòng",H?p s? S? t? d?ng,Nhiên li?u Máy xang
VinFast VF5 Plus 2024,470000000,Nam SX 2024,Ki?u dáng SUV,Tình tr?ng Xe cu,Xu?t x? Nh?p kh?u,Km dã di 23.000 km,"T?nh thành
B?c Ninh",H?p s? S? t? d?ng,Nhiên li?u Ði?n
Toyota Yaris 1.5G 2018,415000000,Nam SX 2018,Ki?u dáng Hatchback,Tình tr?ng Xe cu,Xu?t x? Nh?p kh?u,Km dã di 80.000 km,"T?nh thành
H?i Phòng",H?p s? S? t? d?ng,Nhiên li?u Máy xang
Suzuki Ertiga 2019,365000000,Nam SX 2019,Ki?u dáng MPV,Tình tr?ng Xe cu,Xu?t x? Trong nu?c,Km dã di 50.000 km,"T?nh thành
Lâm Ð?ng",H?p s? S? t? d?ng,Nhiên li?u Máy xang
Kia Sedona 2.2 Platinum D 2017,620000000,Nam SX 2017,Ki?u dáng MPV,Tình tr?ng Xe cu,Xu?t x? Trong nu?c,Km dã di 9.000 km,"T?nh thành
Hà N?i",H?p s? S? t? d?ng,Nhiên li?u Máy d?u
Ford Ranger XLS 2.2 4x2 AT 2016,350000000,Nam SX 2016,Ki?u dáng Bán t?i,Tình tr?ng Xe cu,Xu?t x? Nh?p kh?u,Km dã di 200.000 km,"T?nh thành
Yên Bái",H?p s? S? t? d?ng,Nhiên li?u Máy d?u
Hyundai Grand i10 Sedan 1.2 AT 2017,290000000,Nam SX 2017,Ki?u dáng Sedan,Tình tr?ng Xe cu,Xu?t x? Trong nu?c,Km dã di 60.243 km,"T?nh thành
H?i Phòng",H?p s? S? t? d?ng,Nhiên li?u Máy xang
VinFast VF5 Plus 2025,445000000,Nam SX 2025,Ki?u dáng Crossover,Tình tr?ng Xe cu,Xu?t x? Nh?p kh?u,Km dã di 20.000 km,"T?nh thành
Hà N?i",H?p s? S? t? d?ng,Nhiên li?u Ði?n
Ford Escape XLS 2009,185000000,Nam SX 2009,Ki?u dáng SUV,Tình tr?ng Xe cu,,,"T?nh thành
Hà N?i",H?p s? S? t? d?ng,Nhiên li?u Máy xang
Ford Transit SVP 2022,620000000,Nam SX 2022,Ki?u dáng Van/Minivan,Tình tr?ng Xe cu,Xu?t x? Trong nu?c,Km dã di 110.000 km,"T?nh thành
Tp.HCM",H?p s? S? sàn,Nhiên li?u Máy d?u
Mazda 2 Sedan 1.5L Deluxe 2015,295000000,Nam SX 2015,Ki?u dáng Sedan,Tình tr?ng Xe cu,Xu?t x? Nh?p kh?u,Km dã di 120.000 km,"T?nh thành
H?i Phòng",H?p s? S? t? d?ng,Nhiên li?u Máy xang
Ford Escape XLS 2009,185000000,Nam SX 2009,Ki?u dáng SUV,Tình tr?ng Xe cu,,,"T?nh thành
Hà N?i",H?p s? S? t? d?ng,Nhiên li?u Máy xang
Ford Transit SVP 2022,620000000,Nam SX 2022,Ki?u dáng Van/Minivan,Tình tr?ng Xe cu,Xu?t x? Trong nu?c,Km dã di 110.000 km,"T?nh thành
Tp.HCM",H?p s? S? sàn,Nhiên li?u Máy d?u
Mazda 2 Sedan 1.5L Deluxe 2015,295000000,Nam SX 2015,Ki?u dáng Sedan,Tình tr?ng Xe cu,Xu?t x? Nh?p kh?u,Km dã di 120.000 km,"T?nh thành
H?i Phòng",H?p s? S? t? d?ng,Nhiên li?u Máy xang
